Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Interview,Course,Remarks
Caleb Ross,Harvard University USA,1,68,BS Criminology,BS Information Technology,1,,
Luna Young,Massachusetts Institute of Technology (MIT) USA,1,90,BS Computer Science,BS Biology,1,,
Mateo Perry,Massachusetts Institute of Technology (MIT) USA,1,79,BS Psychology,BS Accountancy,1,,
Hazel Collins,Harvard University USA,D,63,BSED Mathematics,BS Civil Engineering,1,,
Hudson Hughes,California Institute of Technology (Caltech) USA,1,91,BS Criminology,BS Information Technology,1,,
Aurora Morgan,Harvard University USA,1,77,BS Computer Science,BS Biology,1,,
Carter Brooks,Harvard University USA,1,55,BS Psychology,BS Accountancy,1,,
Nova Ward,Harvard University USA,1,86,BSED Mathematics,BS Civil Engineering,1,,
Elijah Kelly,University of Oxford UK,1,82,BS Criminology,BS Information Technology,1,,
Ivy Powell,Harvard University USA,1,59,BS Computer Science,BS Biology,1,,
Sawyer Bailey,Harvard University USA,1,94,BS Psychology,BS Accountancy,0,,
Clara Holmes,California Institute of Technology (Caltech) USA,1,83,BSED Mathematics,BS Civil Engineering,0,,
Silas Sullivan,Imperial College London UK,1,62,BS Criminology,BS Information Technology,0,,
Hazel Olson,University of Oxford UK,S,60,BS Computer Science,BS Biology,0,,
Lincoln Holmes,Harvard University USA,1,87,BS Psychology,BS Accountancy,0,,
Lucy Myers,Harvard University USA,1,84,BSED Mathematics,BS Civil Engineering,0,,
Nolan Turner,Stanford University USA,1,68,BS Criminology,BS Information Technology,0,,
Stella Schmidt,Stanford University USA,1,90,BS Computer Science,BS Biology,0,,
Max Thompson,Harvard University USA,1,79,BS Psychology,BS Accountancy,0,,
Mia Harper,University of Oxford UK,1,63,BSED Mathematics,BS Civil Engineering,0,,
Oliver Turner,Harvard University USA,1,91,BS Criminology,BS Information Technology,0,,
Scarlett Foster,Massachusetts Institute of Technology (MIT) USA,1,77,BS Computer Science,BS Biology,0,,
Levi Russell,University of Oxford UK,1,55,BS Psychology,BS Accountancy,0,,
Evelyn Reed,Harvard University USA,A,86,BSED Mathematics,BS Civil Engineering,0,,
Jackson Turner,Harvard University USA,1,82,BS Criminology,BS Information Technology,0,,
Harper Coleman,Stanford University USA,1,59,BS Computer Science,BS Biology,0,,
Amelia Brooks,Stanford University USA,1,94,BS Psychology,BS Accountancy,0,,
Mason Turner,Stanford University USA,1,83,BSED Mathematics,BS Civil Engineering,0,,
Zoe Sullivan,Stanford University USA,1,62,BS Criminology,BS Information Technology,0,,
Caleb Turner,Stanford University USA,1,85,BS Computer Science,BS Biology,0,,
Aurora Hayes,Harvard University USA,1,88,BS Psychology,BS Accountancy,0,,
Logan Turner,Stanford University USA,1,70,BSED Mathematics,BS Civil Engineering,0,,
Ivy Bell,Stanford University USA,1,95,BS Criminology,BS Information Technology,1,,
John Smith,Harvard University USA,1,80,BS Computer Science,BS Biology,1,,
Emily Johnson,Harvard University USA,1,65,BS Psychology,BS Accountancy,1,,
Ethan Parker,University of Oxford UK,1,92,BSED Mathematics,BS Civil Engineering,1,,
Sophie Brown,Stanford University USA,1,78,BS Criminology,BS Information Technology,1,,
Noah Wilson,Massachusetts Institute of Technology (MIT) USA,1,60,BS Computer Science,BS Biology,1,,
Ava Turner,Harvard University USA,1,87,BS Psychology,BS Accountancy,1,,
Olivia White,Harvard University USA,1,84,BSED Mathematics,BS Civil Engineering,1,,
Logan Davis,Harvard University USA,1,68,BS Criminology,BS Information Technology,1,,
Emma Adams,Stanford University USA,1,90,BS Computer Science,BS Biology,1,,
Daniel Hall,Stanford University USA,1,79,BS Psychology,BS Accountancy,1,,
Mia Martin,Harvard University USA,1,63,BSED Mathematics,BS Civil Engineering,1,,
Liam Harris,Harvard University USA,1,91,BS Criminology,BS Information Technology,1,,
Ella Thompson,Harvard University USA,1,77,BS Computer Science,BS Biology,1,,
James Carter,University of Oxford UK,1,55,BS Psychology,BS Accountancy,1,,
Avery Taylor,Stanford University USA,1,86,BSED Mathematics,BS Civil Engineering,1,,
Isabella Rodriguez,Harvard University USA,1,82,BS Criminology,BS Information Technology,1,,
Matthew Lee,Stanford University USA,1,59,BS Computer Science,BS Biology,1,,
Evelyn King,University of Cambridge UK,1,94,BS Psychology,BS Accountancy,1,,
Michael Harris,Harvard University USA,1,83,BSED Mathematics,BS Civil Engineering,1,,
Aria Scott,University of Oxford UK,1,62,BS Criminology,BS Information Technology,1,,
Elijah Baker,Harvard University USA,1,85,BS Computer Science,BS Biology,1,,
Charlotte Clark,Harvard University USA,1,97,BS Psychology,BS Accountancy,1,,
Lucas Turner,Stanford University USA,1,79,BSED Mathematics,BS Civil Engineering,1,,
Grace Evans,Stanford University USA,1,92,BS Criminology,BS Information Technology,1,,
Benjamin Turner,Harvard University USA,1,78,BS Computer Science,BS Biology,1,,
Aria Nelson,Stanford University USA,1,60,BS Psychology,BS Accountancy,1,,
Hazel Parker,Massachusetts Institute of Technology (MIT) USA,1,87,BSED Mathematics,BS Civil Engineering,1,,
Zoey Thompson,Stanford University USA,1,84,BS Criminology,BS Information Technology,1,,
Jacob Brooks,Harvard University USA,1,68,BS Computer Science,BS Biology,1,,
Mia Hernandez,Stanford University USA,1,90,BS Psychology,BS Accountancy,0,,
Landon Davis,Stanford University USA,1,79,BSED Mathematics,BS Civil Engineering,0,,
Eva Adams,Harvard University USA,1,63,BS Criminology,BS Information Technology,0,,
Jack Hall,Stanford University USA,1,91,BS Computer Science,BS Biology,1,,
Ella Miller,Harvard University USA,1,77,BS Psychology,BS Accountancy,0,,
Logan Martin,Harvard University USA,1,55,BSED Mathematics,BS Civil Engineering,0,,
Avery Harris,University of Oxford UK,1,86,BS Criminology,BS Information Technology,0,,
Isabella Thompson,Harvard University USA,1,82,BS Computer Science,BS Biology,0,,
Matthew Carter,Harvard University USA,1,59,BS Psychology,BS Accountancy,0,,
Evelyn Taylor,University of Cambridge UK,1,94,BSED Mathematics,BS Civil Engineering,0,,
Michael Rodriguez,University of Oxford UK,1,83,BS Criminology,BS Information Technology,0,,
Aria Lee,Harvard University USA,1,62,BS Computer Science,BS Biology,0,,
Sophie Holmes,Harvard University USA,1,85,BS Psychology,BS Accountancy,1,,
Noah Scott,Harvard University USA,1,88,BSED Mathematics,BS Civil Engineering,0,,
Ava Baker,Stanford University USA,1,70,BS Criminology,BS Information Technology,0,,
Olivia Turner,Stanford University USA,1,95,BS Computer Science,BS Biology,0,,
Logan Clark,Harvard University USA,1,80,BS Psychology,BS Accountancy,0,,
Emma Evans,Stanford University USA,1,65,BSED Mathematics,BS Civil Engineering,0,,
Logan Davis,Harvard University USA,1,92,BS Criminology,BS Information Technology,0,,
Emma Adams,Stanford University USA,1,78,BS Computer Science,BS Biology,0,,
Daniel Hall,Stanford University USA,1,60,BS Psychology,BS Accountancy,0,,
Mia Martin,Stanford University USA,1,87,BSED Mathematics,BS Civil Engineering,0,,
Liam Harris,Stanford University USA,1,84,BS Criminology,BS Information Technology,0,,
Ella Thompson,Harvard University USA,1,68,BS Computer Science,BS Biology,1,,
James Carter,Stanford University USA,1,90,BS Psychology,BS Accountancy,1,,
Avery Taylor,University of Oxford UK,1,79,BSED Mathematics,BS Civil Engineering,0,,
Isabella Rodriguez,Stanford University USA,1,63,BS Criminology,BS Information Technology,0,,
Matthew Lee,Stanford University USA,1,91,BS Computer Science,BS Biology,0,,
Evelyn King,Harvard University USA,1,77,BS Psychology,BS Accountancy,0,,
Michael Harris,Harvard University USA,1,55,BSED Mathematics,BS Civil Engineering,0,,
Aria Scott,Harvard University USA,1,86,BS Criminology,BS Information Technology,0,,
Elijah Baker,Harvard University USA,1,82,BS Computer Science,BS Biology,0,,
Charlotte Clark,Harvard University USA,1,59,BS Psychology,BS Accountancy,0,,
Lucas Turner,Stanford University USA,1,94,BSED Mathematics,BS Civil Engineering,0,,
Grace Evans,University of Oxford UK,1,83,BS Criminology,BS Information Technology,0,,
Benjamin Turner,Harvard University USA,1,62,BS Computer Science,BS Biology,0,,
Aria Nelson,Harvard University USA,1,60,BS Psychology,BS Accountancy,0,,
Hazel Parker,Harvard University USA,1,87,BSED Mathematics,BS Civil Engineering,0,,
Zoey Thompson,Harvard University USA,1,84,BS Criminology,BS Information Technology,0,,
Jacob Brooks,Stanford University USA,1,68,BS Computer Science,BS Biology,0,,
Mia Hernandez,Harvard University USA,1,90,BS Psychology,BS Accountancy,0,,
Landon Davis,Harvard University USA,1,79,BSED Mathematics,BS Civil Engineering,0,,
Eva Adams,Harvard University USA,1,63,BS Criminology,BS Information Technology,0,,
Jack Hall,Stanford University USA,1,91,BS Computer Science,BS Biology,0,,
Ella Miller,Stanford University USA,1,65,BS Psychology,BS Accountancy,0,,
Logan Martin,Harvard University USA,1,65,BSED Mathematics,BS Civil Engineering,0,,
Avery Harris,Harvard University USA,1,65,BS Criminology,BS Information Technology,0,,
Isabella Thompson,Stanford University USA,1,65,BS Computer Science,BS Biology,1,,
Matthew Carter,Stanford University USA,1,65,BS Psychology,BS Accountancy,1,,
Evelyn Taylor,Massachusetts Institute of Technology (MIT) USA,1,65,BSED Mathematics,BS Civil Engineering,1,,
Michael Rodriguez,Harvard University USA,1,65,BS Criminology,BS Information Technology,1,,
Aria Lee,Stanford University USA,1,65,BS Computer Science,BS Biology,1,,
Sophie Holmes,Stanford University USA,1,65,BS Psychology,BS Accountancy,1,,
Noah Scott,Harvard University USA,1,65,BSED Mathematics,BS Civil Engineering,1,,
Ava Baker,Harvard University USA,1,65,BS Criminology,BS Information Technology,1,,
Olivia Turner,Stanford University USA,1,65,BS Computer Science,BS Biology,1,,
Logan Clark,Harvard University USA,1,65,BS Psychology,BS Accountancy,1,,
Emma Evans,Harvard University USA,1,65,BSED Mathematics,BS Civil Engineering,1,,
Lucas Turner,Harvard University USA,1,65,BS Criminology,BS Information Technology,0,,
Darryl John,Massachusetts Institute of Technology (MIT) USA,1,65,BS Computer Science,BS Biology,1,,
Johnny Sins,Harvard University USA,1,65,BS Psychology,BS Accountancy,1,,
ABC MOORE,Stanford University USA,1,100,BSED Mathematics,BS Civil Engineering,1,,
Darryl John,Harvard University USA,1,100,BS Criminology,BS Information Technology,1,,
Hinata Shoyo,Massachusetts Institute of Technology (MIT) USA,1,100,BS Computer Science,BS Biology,1,,
a,a,a,a,aa,,a,,
aa,aa,aa,sasdfsd,sfasfd,,sdsgsdg
Darryl John,aaaaaa,1223,1231,12312,,212321
a,a,a,a,a,,a
